customer_id,name,region,customer_type
1,Tiffany Durham,Florida,Regular
2,Michele Bush,Texas,Regular
3,Michelle Thomas,Wisconsin,New
4,Shari Jordan,Colorado,Regular
5,Micheal Jenkins,New York,Regular
6,James Fletcher,Texas,New
7,Ashley Barnett,California,Regular
8,Ernest Gray,Florida,New
9,Hannah Gregory MD,Texas,New
10,Katherine Norman,Wisconsin,Regular
11,Vernon Torres,Wisconsin,New
12,Mark Miranda,Texas,Regular
13,Jennifer Harmon,Alabama,Regular
14,Thomas Lucas,California,Regular
15,Jared Cain,Colorado,New
16,Hunter Bentley,Wisconsin,New
17,Anthony Ramirez,New York,Loyal
18,Melinda Lee,Texas,New
19,Kevin Vazquez,Wisconsin,New
20,Sara Reed,Colorado,New
21,Deanna Floyd,Florida,Regular
22,Christopher Flynn,Texas,Regular
23,Kyle Lutz,California,Regular
24,Jack Horton,California,Regular
25,Kayla Gonzalez,Florida,Regular
26,Jesse Barrett,Texas,Regular
27,Kathleen Harvey,Texas,Loyal
28,Sabrina Barnes,Florida,New
29,Jennifer Russell,California,New
30,Laura Boone,California,Regular
31,Jennifer Lee,Alabama,New
32,Penny Chavez,Florida,New
33,Amanda Reyes,Colorado,New
34,Shannon Fisher,Texas,Regular
35,Michael Caldwell,Texas,Regular
36,Mrs. Taylor Jimenez MD,Texas,Loyal
37,Eric Harris,Colorado,Regular
38,Russell Miller,Florida,Regular
39,Jacob Brandt,Colorado,Regular
40,Carrie Ball,Texas,Regular
41,James Bell,Florida,Regular
42,Dwayne Adams,Florida,Loyal
43,Gregory Mccann,New York,Regular
44,Amy Lane,Alabama,New
45,Kelly Hernandez,California,Regular
46,Justin Yoder,California,New
47,Jessica Franco,Wisconsin,Regular
48,Jennifer Crawford,California,Regular
49,Cory Thomas,Alabama,New
50,Albert Buchanan,Alabama,Loyal
51,Misty Vasquez,California,New
52,Garrett Duarte,Florida,New
53,Kimberly Stokes,Texas,New
54,Bradley Porter,California,Regular
55,Rebecca Hatfield,New York,Loyal
56,Casey Brown,Colorado,Regular
57,Kristy Ayala,New York,Regular
58,Alison Mercado,Colorado,Loyal
59,Cody Nelson,Texas,New
60,Gloria Murphy,Florida,Regular
61,Paula Rasmussen,Wisconsin,New
62,Nancy Moore,Wisconsin,New
63,Matthew Austin,California,Regular
64,James Adams,California,Loyal
65,Shelley Phillips,Colorado,Loyal
66,Bryce Peters,Texas,Regular
67,Taylor Coleman,Colorado,Loyal
68,Carla Wright,California,Regular
69,Kyle Barrett,California,New
70,Samantha Wood,Wisconsin,Regular
71,Kristen Brown,New York,New
72,Victoria Miller,Texas,Loyal
73,Justin Tate,New York,Regular
74,Rachel Garcia MD,Florida,New
75,Rhonda Barry,Texas,Regular
76,Eddie Smith,Alabama,New
77,Rickey Shaw,New York,New
78,Tony Nicholson,California,Regular
79,Courtney Romero,Texas,New
80,William Molina,Texas,Regular
81,John Holloway,California,New
82,Kayla Young,Texas,Loyal
83,Claire Vega,Colorado,Regular
84,Regina Giles,Texas,New
85,Carol Hanson,Texas,Regular
86,Brian Perez,Alabama,New
87,Elizabeth Richard,New York,New
88,Curtis Lane,Wisconsin,Regular
89,Tina Perez,California,Regular
90,Brianna Green,New York,Regular
91,Tonya Washington,Wisconsin,New
92,Melissa Mcclure,Alabama,Regular
93,Daniel Hubbard,New York,Regular
94,Jennifer Allen,Colorado,Regular
95,Grace Long,California,Regular
96,Benjamin Thomas,New York,Regular
97,Eric Weaver,Texas,Loyal
98,Donald Porter,New York,Loyal
99,Craig Newton,Florida,Regular
100,Barbara Richards,Alabama,Loyal
101,Natalie Hensley,Alabama,Loyal
102,Sean Evans,Colorado,Regular
103,Derek Owens,New York,Regular
104,Andrea Butler,New York,Regular
105,Summer Howard,Texas,Loyal
106,Robert Hall,Texas,New
107,Miranda Sullivan,New York,Regular
108,Angel Wilkerson DVM,Alabama,Loyal
109,Diana Alexander,Florida,New
110,Lisa Johnson,California,Regular
111,Christopher Thomas,Alabama,New
112,Gregory Meyer,Florida,New
113,Michael Rodriguez,California,New
114,Benjamin Cannon,New York,Loyal
115,Jean Pearson,California,Loyal
116,Danielle Johnson,California,Regular
117,Nathan Morgan,Florida,New
118,Tracey Braun,Texas,Regular
119,Jessica Mcmahon,Colorado,Regular
120,Amanda French DVM,Florida,New
121,Ashley Neal,New York,New
122,Rebecca Parker,New York,Loyal
123,Veronica Brooks DVM,Texas,New
124,James Giles,Texas,Regular
125,Deanna Arnold,Florida,Regular
126,Theresa Davis,Texas,New
127,Daniel Vazquez,California,Regular
128,Shari Dawson,Alabama,Loyal
129,Raymond Logan,California,Regular
130,Jesus Marshall,Texas,Loyal
131,Ann Brady,Colorado,Loyal
132,Lori Graham,Texas,Regular
133,Heather Ware,Colorado,New
134,Patricia Anderson,Florida,Loyal
135,Jennifer Brandt,Florida,Regular
136,Emma Davis,Wisconsin,Regular
137,Rhonda White,Florida,Loyal
138,Michael Anderson,California,Regular
139,Michael Smith,California,New
140,Angela Sanders,Texas,New
141,Katherine Barnett,Wisconsin,Regular
142,Thomas Rose,Florida,Regular
143,Hannah Munoz,New York,Loyal
144,Brittany Patel,Colorado,Regular
145,Heather Cook,New York,Regular
146,Jill Nicholson,California,New
147,Courtney Payne,Florida,Regular
148,Laura Alexander,Wisconsin,New
149,Wendy Stewart,New York,Regular
150,Stephanie Long,California,Loyal
151,Mary Floyd,Colorado,New
152,Leslie Bowen,Colorado,New
153,Peter Nguyen,California,Regular
154,Christine Anthony,Texas,Loyal
155,Kyle Moses,Wisconsin,Loyal
156,Kenneth Baker,Colorado,Regular
157,Jacqueline Chandler,Texas,Regular
158,Michelle Ashley,Wisconsin,Loyal
159,Andrew Smith,New York,New
160,John Blankenship,California,Loyal
161,Christopher Thompson,Colorado,Loyal
162,Keith Butler,Wisconsin,Loyal
163,Kathy Santana,California,New
164,Brian Martin,Texas,Loyal
165,Amanda Hebert,Wisconsin,Loyal
166,Valerie Wong,Wisconsin,Regular
167,Gavin Chavez,Wisconsin,Regular
168,Erin Miller,Colorado,Loyal
169,John Campbell,Texas,Loyal
170,Emily Arnold,New York,Regular
171,Christopher Torres,Wisconsin,Regular
172,Catherine Harris,California,Regular
173,Darlene Lewis,Texas,Loyal
174,Philip Clark,Alabama,Regular
175,David Welch,Florida,Regular
176,Jasmine Alvarez,Alabama,New
177,David Kelly,Alabama,Regular
178,James Paul,Alabama,Regular
179,Michael Romero,Alabama,Regular
180,Wendy Perry,California,Regular
181,David Cummings,Wisconsin,Regular
182,Paul Williams,Florida,New
183,Donald Curry,New York,New
184,Monique Perez,Texas,New
185,Heather Olson,California,Loyal
186,Chad English,New York,New
187,Misty Austin,Wisconsin,New
188,David Ruiz,Texas,Regular
189,Willie Valdez,Florida,Regular
190,Jared Alvarez,Texas,Loyal
191,Kelsey Weiss,Wisconsin,Regular
192,Mark Clark,Texas,Regular
193,Roy Gonzalez,New York,Regular
194,James Martinez,California,Regular
195,Gina Savage,Alabama,New
196,Tammy Henderson,Colorado,New
197,Jeffery Mccoy,Texas,New
198,Jessica Olson,California,Regular
199,Thomas Wallace,New York,New
200,Anita Cortez,Florida,Regular
201,Ross Johnson,New York,Regular
202,Hannah Johnson,New York,Loyal
203,James Wong,Wisconsin,Regular
204,Steven Green,California,New
205,Mary Perez,Florida,Regular
206,Ashley Wyatt,Wisconsin,New
207,Jon Humphrey,Florida,Regular
208,Scott Guzman,California,Regular
209,Robin Martin,Texas,Regular
210,Lauren Joseph,Colorado,Regular
211,Melissa Mclaughlin,New York,New
212,Jorge Baker,California,New
213,Martha Francis,New York,Regular
214,Maria Blanchard,Florida,Regular
215,Keith Jacobs,Wisconsin,New
216,Gina Garcia,California,Regular
217,Daniel Parsons,California,Loyal
218,Alan Fields,New York,Regular
219,Raymond Hess,Texas,Loyal
220,Daniel Hubbard,New York,Loyal
221,Brian Williams,Florida,Loyal
222,Andrea Garcia,Florida,Loyal
223,Jared Hall,Colorado,New
